STT,Id,Mã KH,Tên,Điện thoại,Mã Số Thuế,Nhân viên bán hàng,Khu vực,Địa chỉ,Vĩ Độ,Kinh Độ,Xã/Tỉnh mới,,,
2317,196867,2HNNGUYENTHAIVUI,"HỘ KINH DOANH""","NGUYỄN THÁI VUI"",0976828874""",1075013382,Kiều Kim Nam,T03 - MIỀN BẮC 3,XómTừaThôn.PhùDực2,XãPhùĐổng,HuyệnGiaLâm,"Xã Gia Lâm,Thành phố Hà Nội",Khác,Chưa xác định,
2318,161677,2HNNGUYENTHIAM,NGUYỄN THỊ AM,966666566,1158009765,Kiều Kim Nam,T03 - MIỀN BẮC 3,"KIOT 2 CTY CỔ PHẦN GIỐNG CÂY TRỒNG HÀ TÂY, PHƯỜNG PHÚ LƯƠNG, THÀNH PHỐ HÀ NỘI","20,9533797","105,7594369","Phường Phú Lương,Thành Phố Hà Nội",,,
2319,156956,2HNNGUYENTHINEN,HỘ KINH DOANH NGUYỄN THỊ NÊN,978065230,24186000655,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN ĐOÀI, XÃ VĨNH THANH, THÀNH PHỐ HÀ NỘI","21,1070032","105,8423797","Xã Vĩnh Thanh,Thành Phố Hà Nội",,,
2320,151929,2HNNGUYENTHINHUNG,NGUYỄN THỊ NHUNG,975997904,1163026143,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN HẠ LÔI, XÃ MÊ LINH, THÀNH PHỐ HÀ NỘI","21,16731577","105,7420959","Xã Mê Linh,Thành Phố Hà Nội",,,
2321,153070,2HNNGUYENTHITHUY,Nguyễn Thị Thúy,359187490,1171024966,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN PHÚ NHI, XÃ QUANG MINH, THÀNH PHỐ HÀ NỘI","21,1955966","105,7345523","Xã Quang Minh,Thành Phố Hà Nội",,,
2322,151984,2HNNGUYENTHIVAN,HỘ KINH DOANH NGUYỄN THỊ VÂN,903433396,1189051179,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN TRUNG HẬU ĐOÀI, XÃ MÊ LINH, THÀNH PHỐ HÀ NỘI","21,1549915","105,7531127","Xã Mê Linh,Thành Phố Hà Nội",,,
2323,154162,2HNNGUYENVANCUONG,NGUYỄN VĂN CƯƠNG,909693668,1077013689,Kiều Kim Nam,T03 - MIỀN BẮC 3,"ĐỘI 6, XÃ SƠN ĐỒNG, THÀNH PHỐ HÀ NỘI","20,999621","105,6824707","Xã Sơn Đồng,Thành Phố Hà Nội",,,
2324,154424,2HNNGUYENVANQUYET,NGUYỄN VĂN QUYẾT,355111166,1085031103,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN HẠ LÔI, XÃ MÊ LINH, THÀNH PHỐ HÀ NỘI","21,15596871","105,7389027","Xã Mê Linh,Thành Phố Hà Nội",,,
2325,156933,2HNNGUYENVANTHUNG,NGUYỄN VĂN THUNG,984470835,8185235207,Kiều Kim Nam,T03 - MIỀN BẮC 3,"THÔN THÀNH LẬP, MINH TÂN, PHÚ XUYÊN, HÀ NỘI","20,6768566","105,9734957","Xã Đại Xuyên,Thành Phố Hà Nội",,,
2326,152196,2HNNGUYENVANTRUNG,NGUYỄN VĂN TRUNG,988763227,1072027055,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN HẠ LÔI, XÃ MÊ LINH, THÀNH PHỐ HÀ NỘI","21,16710875","105,7315729","Xã Mê Linh,Thành Phố Hà Nội",,,
2327,158446,2HNNGUYENXUANTHAI,HỘ KINH DOANH NGUYỄN XUÂN THÁI,983622812,1085020232,Kiều Kim Nam,T03 - MIỀN BẮC 3,"TỔ 3, PHƯỜNG PHÚ LƯƠNG, THÀNH PHỐ HÀ NỘI","20,94531957","105,7568532","Phường Phú Lương,Thành Phố Hà Nội",,,
2328,196705,2HNNTHITINH,NGUYỄN THỊ TỊNH,975516568,1172018846,Kiều Kim Nam,T03 - MIỀN BẮC 3,"Tổ Dân Phố Hạ 9, Phường Tây Tựu, Quận Bắc Từ Liêm, Hà Nội, Việt Nam","21,06788441","105,738068","Phường Tây Tựu,Thành Phố Hà Nội",,,
2329,156934,2HNNTHUONGNGUYEN,NGUYỄN THỊ HƯƠNG - NGUYỆN,84705415620,1177022073,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN TRUNG OAI, XÃ PHÚC THỊNH, THÀNH PHỐ HÀ NỘI","21,1439436","105,8285565","Xã Phúc Thịnh,Thành Phố Hà Nội",,,
2330,158248,2HNNVANTIEN,NGUYỄN VĂN TIẾN,968045237,8622617956,Kiều Kim Nam,T03 - MIỀN BẮC 3,"XÃ TỰ NHIÊN, HUYỆN THƯỜNG TÍN, TP.HÀ NỘI","20,8577315","105,9284832","Xã Chương Dương,Thành Phố Hà Nội",,,
2331,151977,2HNPHAMHOANGANH,PHẠM HOÀNG ANH,382559913,1079011995,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN NỘI ĐỒNG, XÃ QUANG MINH, THÀNH PHỐ HÀ NỘI","21,1921903","105,7152016","Xã Quang Minh,Thành Phố Hà Nội",,,
2332,154425,2HNPHAMVANHUAN,PHẠM VĂN HUẤN,968426668,24087000334,Kiều Kim Nam,T03 - MIỀN BẮC 3,"THÔN PHÙNG HƯNG, XÃ ĐAN PHƯỢNG, THÀNH PHỐ HÀ NỘI","21,0922517","105,6730483","Xã Đan Phượng,Thành Phố Hà Nội",,,
2333,156957,2HNPHAMXUANHONG,HỘ KINH DOANH PHẠM XUÂN HỒNG,915552682,1082031885,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN HẠ LÔI , XÃ MÊ LINH, THÀNH PHỐ HÀ NỘI","21,1560287","105,741025","Xã Mê Linh,Thành Phố Hà Nội",,,
2334,158448,2HNTHETHUAN,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP THỂ THUẬN 4,367234827,1180012365,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN LIỄU TRÌ, XÃ QUANG MINH, THÀNH PHỐ HÀ NỘI","21,1680821","105,7316896","Xã Quang Minh,Thành Phố Hà Nội",,,
2335,153071,2HNTHILOAN,Nguyễn Thị Loan,904196948,1188020091,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN ĐẠI BÁI, XÃ QUANG MINH, THÀNH PHỐ HÀ NỘI","21,16760542","105,7420123","Xã Quang Minh,Thành Phố Hà Nội",,,
2336,152590,2HNTHUHUONG,HKD THU HƯƠNG,945631166,1090062730,Kiều Kim Nam,T03 - MIỀN BẮC 3,"THÔN ĐỔNG XUYÊN, XÃ THUẬN AN, THÀNH PHỐ HÀ NỘI","21,03601506","105,9617179","Xã Thuận An,Thành Phố Hà Nội",,,
2337,198754,2HNTHUYKHUE,"HKD""","VŨ THỊ THUÝ KHUÊ"",0356174882""",1180037311,Kiều Kim Nam,T03 - MIỀN BẮC 3,Đội10.ThônTrungQuan,XãVănĐức,HuyệnGiaLâm,"Xã Gia Lâm,Thành Phố Hà Nội",Khác,Chưa xác định,
2338,156935,2HNTOTHINU,TÔ THỊ NỤ,869971979,1179034568,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN SƠN DU, XÃ PHÚC THỊNH, THÀNH PHỐ HÀ NỘI","21,1783514","105,8229991","Xã Phúc Thịnh,Thành Phố Hà Nội",,,
2339,152295,2HNTRANDINHHUNG,TRẦN ĐÌNH HÙNG,857334044,,Kiều Kim Nam,T03 - MIỀN BẮC 3,"XÃ VÂN PHÚC, HUYỆN PHÚC THỌ, THÀNH PHỐ HÀ NỘI","21,1479798","105,5943683","Xã Phúc Lộc,Thành Phố Hà Nội",,,
2340,196834,2HNTRANHUUTRU,HỘ KINH DOANH TRẦN HỮU TRỤ,84392262636,1073018617,Lê Bá Phương,T03 - MIỀN BẮC 3,"Thôn Đông Cao, xã Tráng Việt, Huyện Mê Linh, Thành Phố Hà Nội, Việt Nam.","21,15492483","105,7277218","Xã Mê Linh,Thành Phố Hà Nội",,,
2341,154163,2HNTRANQUOCTUAN,TRẦN QUỐC TUẤN,986297203,8075363301,Kiều Kim Nam,T03 - MIỀN BẮC 3,CỤM 2 - XÃ VÂN HÀ - PHÚC THỌ - HÀ NỘI,"21,1503468","105,6193546","Xã Phúc Lộc,Thành Phố Hà Nội",,,
2342,198803,2HNTRANSAM,TRẦN SÂM,966067912,1072017802,Kiều Kim Nam,T03 - MIỀN BẮC 3,"Xóm Hòa Hợp, Xã Dương Liễu, Huyện Hoài Đức, TP Hà Nội",,,"Xã Dương Hòa,Thành Phố Hà Nội",,,
2343,199077,2HNTRANTHIHUONG86,HỘ KINH DOANH TRẦN THỊ HƯƠNG 86,979909478,1186036191,Lê Bá Phương,T03 - MIỀN BẮC 3,"Đại Bái, Xã Quang Minh, Thành Phố Hà Nội, Việt Nam","21,17708676","105,729926","Xã Quang Minh,Thành Phố Hà Nội",,,
2344,156958,2HNTRANVANBINH,TRẦN VĂN BÌNH,988742726,1066005215,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN THỐ BẢO, XÃ PHÚC THỊNH, THÀNH PHỐ HÀ NỘI","21,1584633","105,8169843","Xã Phúc Thịnh,Thành Phố Hà Nội",,,
2345,152070,2HNTRANVANPHO,HỘ KINH DOANH TRẦN VĂN PHỐ,979632445,33064007023,Trần Duy Triển,T02 - MIỀN BẮC 2,"THÔN NĂM MẪU, XÃ CHÂU NINH, TỈNH HƯNG YÊN","20,82814977","105,9149697","Xã Châu Ninh,Tỉnh Hưng Yên",,,
2346,195720,2HNTRINHVANLAM,HỘ KINH DOANH TRỊNH VĂN LÂM - 1995,333366761,8095003908,Kiều Kim Nam,T03 - MIỀN BẮC 3,"TỔ DÂN PHỐ AN LẠC, XÃ GIA LÂM, THÀNH PHỐ HÀ NỘI","21,00938821","105,9342094","Xã Gia Lâm,Thành Phố Hà Nội",,,
2347,197184,2HNTRUONGTHIHOA,TRƯƠNG THỊ HOA,,36179015813,Kiều Kim Nam,T03 - MIỀN BẮC 3,THÔN VĨNH LỘC - XÃ THƯ PHÚ - H.THƯỜNG TÍN - HÀ NỘI,"20,86202089","105,9065416","Xã Chương Dương,Thành Phố Hà Nội",,,
2348,152598,2HNVUONGDUYTHACH,VƯƠNG DUY THẠCH,398491172,1079012354,Lê Bá Phương,T03 - MIỀN BẮC 3,"THÔN 1, XÃ QUANG MINH, THÀNH PHỐ HÀ NỘI","21,1731014","105,7578662","Xã Quang Minh,Thành Phố Hà Nội",,,
2349,198585,2HPANDUONG,HỢP TÁC XÃ SẢN XUẤT VÀ DỊCH VỤ NÔNG NGHIỆP AN DƯƠNG,912447486,202229152,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"Tổ dân phố Đào Yêu, Phường Hồng Thái, Quận An Dương, TP Hải Phòng, Việt Nam","20,8303431","106,6059338","Phường An Hải,Thành Phố Hải Phòng",,,
2350,152142,2HPBUIVANCAN,BÙI VĂN CÁN,904592847,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ THỤY HƯƠNG, HUYỆN KIẾN THỤY, TP. HẢI PHÒNG","20,7523057","106,6520503","Xã Kiến Hưng,Thành Phố Hải Phòng",,,
2351,152366,2HPCONGHIEN,HỢP TÁC XÃ NÔNG NGHIỆP XÃ CỘNG HIỀN,397943562,31060020140,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN AN QUÝ 3, XÃ VĨNH HÒA, THÀNH PHỐ HẢI PHÒNG","20,6264669","106,4886452","Xã Vĩnh Hòa,Thành Phố Hải Phòng",,,
2352,152749,2HPDAOTHIBIEN,ĐÀO THỊ BIỂN,369319798,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,", BẠCH ĐẰNG, TIÊN LÃNG, HẢI PHÒNG","20,7086652","106,566927","Xã Tân Minh,Thành Phố Hải Phòng",,,
2353,152581,2HPDAOTHICHUYEN,ĐÀO THỊ CHUYÊN,358506618,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ AN THÁI, HUYỆN AN LÃO, THÀNH PHỐ HẢI PHÒNG","20,7587008","106,6208284","Xã An Hưng,Thành Phố Hải Phòng",,,
2354,152356,2HPDAOVANLAM,ĐÀO VĂN LÂM,976376457,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ ĐOÀN LẬP, HUYỆN TIÊN LÃNG, TP. HẢI PHÒNG","20,6996313","106,5595733","Xã Tân Minh,Thành Phố Hải Phòng",,,
2355,152407,2HPDOTHIHA,ĐỖ THỊ HÀ,389431956,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"ĐẠI THẮNG, TIÊN LÃNG , TỈNH HẢI PHÒNG","20,78110934","106,5061527","Xã Quyết Thắng,Thành Phố Hải Phòng",,,
2356,151941,2HPDOVANANH,ĐỖ VĂN ÁNH,987172458,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ NHÂN HÒA, HUYỆN VĨNH BẢO, TP. HẢI PHÒNG","20,6768661","106,4864186","Xã Vĩnh Bảo,Thành Phố Hải Phòng",,,
2357,158308,2HPDUCTIN,PHẠM ĐỨC TÍN,983115856,8302544515,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN HƯNG CƯỜNG, XÃ NHÂN HOÀ, HUYỆN VĨNH BẢO, TP HẢI PHÒNG.","20,6718746","106,4704206","Xã Vĩnh Bảo,Thành Phố Hải Phòng",,,
2358,152750,2HPDUONGTHIMUNG,DƯƠNG THỊ MỪNG,944168002,201943653,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,", NHÂN HÒA, VĨNH BẢO, HẢI PHÒNG","20,6730817","106,472773","Xã Vĩnh Bảo,Thành Phố Hải Phòng",,,
2359,156324,2HPHTXNNDAITHANG,HTX NN ĐẠI THẮNG,385246786,31055012425,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN TRÂM KHÊ, XÃ QUYẾT THẮNG, THÀNH PHỐ HẢI PHÒNG","20,7867622","106,5033111","Xã Quyết Thắng,Thành Phố Hải Phòng",,,
2360,196886,2HPLETHIHOAN,HỘ KINH DOANH LÊ THỊ HOAN,84357046133,30185003377,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"Thôn Giang Khẩu, xã Đại Thắng, Huyện Tiên Lãng, Thành Phố Hải Phòng, Việt Nam","20,7964007","106,4898884","Xã Quyết Thắng,Thành Phố Hải Phòng",,,
2361,152197,2HPMAICONGNHIU,MAI CÔNG NHÌU,979448660,31060013424,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN ĐỒN DƯỚI, XÃ HÙNG THẮNG, THÀNH PHỐ HẢI PHÒNG","20,6627245","106,6806606","Xã Hùng Thắng,Thành Phố Hải Phòng",,,
2362,158317,2HPNGUYENDOANTAN,NGUYỄN DOÃN TẦN,358541861,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"ĐỘI 1, KIỀN BÁI, THUỶ NGUYÊN, HẢI PHÒNG","20,9126043","106,6404784","Phường Thiên Hương,Thành Phố Hải Phòng",,,
2363,152751,2HPNGUYENQUOCHUNG,NGUYỄN QUỐC HƯNG,773236785,31081001518,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"TỔ DÂN PHỐ ĐÀO YÊU, PHƯỜNG AN HẢI, THÀNH PHỐ HẢI PHÒNG","20,8313202","106,6079099","Phường An Hải,Thành Phố Hải Phòng",,,
2364,198582,2HPNGUYENVANHIEP,HỘ KINH DOANH NGUYỄN VĂN HIỆP,975245035,30052006075,Vũ Hoàng Hiệp,KHU VỰC MIỀN BẮC 2,"Thôn Vé, Xã Ninh Giang, TP Hải Phòng, Việt Nam.",,,"Xã Ninh Giang,Thành Phố Hải Phòng",,,
2365,152101,2HPNGUYENVANSANG,NGUYỄN VĂN SÁNG (SỚM),986978286,31065002440,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN KIM CHÂM, XÃ AN KHÁNH, THÀNH PHỐ HẢI PHÒNG","20,7715094","106,5886152","Xã An Khánh,Thành Phố Hải Phòng",,,
2366,152174,2HPNGUYENVANTHU,NGUYỄN XUÂN THỦ,973549612,31057004771,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN TRUNG THANH NANG, XÃ AN HƯNG, THÀNH PHỐ HẢI PHÒNG","20,7580853","106,6124569","Xã An Hưng,Thành Phố Hải Phòng",,,
2367,153074,2HPPHAMDUCDIEU,Phạm Đức Diệu,367496469,31061004602,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN NGỌC LIỄN, XÃ KIẾN THỤY, THÀNH PHỐ HẢI PHÒNG","20,7231734","106,6671506","Xã Kiến Thụy,Thành Phố Hải Phòng",,,
2368,152123,2HPPHAMNHUMANH,PHẠM NHƯ MẠNH,936147847,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ ĐẶNG CƯƠNG, HUYỆN AN DƯƠNG, TP. HẢI PHÒNG","20,849679","106,605937","Phường An Hải,Thành Phố Hải Phòng",,,
2369,154165,2HPPHAMPHUDIEM,PHẠM PHÚ ĐIỀM,385939005,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"XÃ TÂN VIÊN, HUYỆN AN LÃO, TP. HẢI PHÒNG","20,7738477","106,5617861","Xã An Khánh,Thành Phố Hải Phòng",,,
2370,152264,2HPQUACHVANVANG,QUÁCH VĂN VANG,983208318,31070001451,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"THÔN MỸ KHÊ, XÃ QUYẾT THẮNG, THÀNH PHỐ HẢI PHÒNG","20,773565","106,5305244","Xã Quyết Thắng,Thành Phố Hải Phòng",,,
2371,196945,2HPTHOAINGA,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP THOẠI NGA,904806515,31165012902,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"Quốc lộ 17B Tổ Dân Phố Vân Tra, Phường An Đồng, Quận An Dương, Thành Phố Hải Phòng, Việt Nam","20,8676378","106,6227223","Phường An Hải,Thành Phố Hải Phòng",,,
2372,161678,2HPTRANQUOCHUNG,TRẦN QUỐC HÙNG,977470841,31084002305,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"TỔ DÂN PHỐ 3, PHƯỜNG NAM TRIỆU, THÀNH PHỐ HẢI PHÒNG","20,9232432","106,7414275","Phường Nam Triệu,Thành Phố Hải Phòng",,,
2373,152543,2HPVUTHIPHE,VŨ THI PHÊ,372353198,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"NGŨ ĐOAN, KIẾN THỤY, TỈNH HẢI PHÒNG","20,7237051","106,684085","Xã Kiến Hưng,Thành Phố Hải Phòng",,,
2374,152568,2HPVUTHIQUYEN,VŨ THỊ QUYẾN,774741468,,Nguyễn Văn Biểng,T02 - MIỀN BẮC 2,"TRẠM VTNN KIẾN THỤY, XÃ KIẾN THỤY, TP. HẢI PHÒNG","20,7492265","106,668189","Xã Kiến Thụy,Thành Phố Hải Phòng",,,
2375,158373,2HTLUONGVANCUONG,LƯƠNG VĂN CƯỜNG,919845479,42081002797,Nguyễn Thành Định,KHU VỰC MIỀN BẮC 1,"SỐ 27 ĐƯỜNG XÔ VIẾT NGHỆ TĨNH, XÃ CAN LỘC, TỈNH HÀ TĨNH","18,4461814","105,777031","Xã Can Lộc,Tỉnh Hà Tĩnh",,,
2376,195647,2HTPHANVIETTRIEU,HỘ KINH DOANH PHAN VIẾT TRIỀU,931921456,40092045177,Nguyễn Thành Định,KHU VỰC MIỀN BẮC 1,"THÔN TRUNG ĐẠI LÂM, XÃ ĐỨC THỊNH, TỈNH HÀ TĨNH","18,5063272","105,6204748","Xã Đức Thịnh,Tỉnh Hà Tĩnh",,,
2377,161135,2HTTRANTHITIEN,TRẦN THỊ TIẾN,84978010554,42172018037,Nguyễn Thành Định,KHU VỰC MIỀN BẮC 1,"THÔN YÊN MỸ, XÃ YÊN HÒA, TỈNH HÀ TĨNH","18,2918899","106,0181461","Xã Yên Hòa,Tỉnh Hà Tĩnh",,,
2378,156787,2HUCHDANNHUNG,HKD CỬA HÀNG DÂN NHUNG,906562564,38082038409,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"VÂN DƯƠNG, PHƯỜNG VỸ DẠ, THÀNH PHỐ HUẾ","16,4750123","107,6075862","Phường Vỹ Dạ,Thành Phố Huế",,,
2379,156788,2HUDANGHOP,ĐẶNG HỢP,395891396,3300514308,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"An Xuân - Quảng An, Xã Quảng An, Huyện Quảng Điền, tỉnh Thừa Thiên Huế","16,56277936","107,5539752","Xã Quảng Điền,Thành Phố Huế",,,
2380,158954,2HUDINHVIETTHA,HỘ KINH DOANH ĐINH VIẾT THÀ,906455599,46084015877,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THÔN DI ĐÔNG, XÃ PHÚ HỒ, THÀNH PHỐ HUẾ","16,4773419","107,6701011","Xã Phú Hồ,Thành Phố Huế",,,
2381,154587,2HUGIANGTHAM,HỘ KD GIANG THẮM,903425134,46188011838,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"MONG A, XÃ PHÚ VANG, THÀNH PHỐ HUẾ","16,4054832","107,7562963","Xã Phú Vang,Thành Phố Huế",,,
2382,152651,2HUHAPHUOC,Nguyễn Thị Lệ Hà,352666380,46172012389,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"HẠ LANG, XÃ ĐAN ĐIỀN, THÀNH PHỐ HUẾ","16,5289835","107,4844859","Xã Đan Điền,Thành Phố Huế",,,
2383,152753,2HUHOAITHU,Nguyễn Thị Hoài Thu,84974330371,8541778465,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,", Phong Thu, Phong Điền, TT Huế","16,6514475","107,4078824","Phường Phong Điền,Thành Phố Huế",,,
2384,154588,2HUHOAIVAN,HỘ KD HOÀI VÂN,822025700,3300297445,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,SƠN QUÁ-PHONG SƠN-PHONG ĐIỀN-TT HUẾ,"16,4924162","107,4001288","Phường Phong Thái,Thành Phố Huế",,,
2385,152653,2HUHOANGCONGTAN,Hoàng Công Tấn,84913479911,46086013970,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"CAO XÁ, PHƯỜNG PHONG THÁI, THÀNH PHỐ HUẾ","16,5616009","107,4707906","Phường Phong Thái,Thành Phố Huế",,,
2386,152655,2HUHOANVANHIEN,Hoàng Văn Hiền,84935110610,3301514967,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"Hiền Lương, Phong Hiền, Phong Điền, TT Huế","16,560726","107,4662292","Phường Phong Thái,Thành Phố Huế",,,
2387,152656,2HUHONGDOAN,Hồ Văn Đoàn,937993388,3300202059,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"Ưu Điềm, Phong Binh, Phong Điền, TT Huế","16,6666981","107,3311773","Phường Phong Dinh,Thành Phố Huế",,,
2388,154209,2HUHOTHIHUE,HỒ THỊ HUÊ,84932517859,46163010721,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THANH LAM, XÃ PHÚ VANG, THÀNH PHỐ HUẾ","16,3919267","107,7683616","Xã Phú Vang,Thành Phố Huế",,,
2389,156972,2HUHUELU,HỘ KINH DOANH HUỆ LỮ,935398069,3301657274,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THÔN VĨNH XƯƠNG, XÃ ĐIỀN THÔN, HUYỆN PHONG ĐIỀN, TT HUẾ","16,6996507","107,3792879","Phường Phong Điền,Thành Phố Huế",,,
2390,154589,2HULEDIENTHANH,HỘ KD LÊ DIÊN THÀNH,935101015,1600737767,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,16 KHÚC THỪA DỤ-P THÙY DƯƠNG-TX HƯƠNG THỦY-TT HUẾ,"16,4897949","107,5414571","Phường Thanh Thủy,Thành Phố Huế",,,
2391,152660,2HULETANXINH,Lê Tấn Xinh,84934825040,46055009185,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"VÂN TRÌNH, PHƯỜNG PHONG DINH, THÀNH PHỐ HUẾ","16,6968636","107,3580987","Phường Phong Dinh,Thành Phố Huế",,,
2392,154339,2HULETHINHUKHANH,LÊ THỊ NHƯ KHANH,84934797376,8044168188,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,SỐ 32 ĐƯỜNG DƯƠNG BÁ NUÔI TDP THANH TIÊN P. HƯƠNG XUÂN TX HƯƠNG TRÀ TT HUẾ,"16,5149916","107,5032832","Phường Kim Trà,Thành Phố Huế",,,
2393,156936,2HULETRUNGVU,HỘ KINH DOANH LÊ TRUNG VŨ,367056141,8788774858-001,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"Thôn Mỹ Lam, xã Phú Mỹ, huyện Phú Vang, Thừa Thiên Huế","16,4877843","107,6493825","Phường Mỹ Thượng,Thành Phố Huế",,,
2394,156870,2HUNGOCAP,HỘ KINH DOANH NGÔ CẤP,355600752,46069003934,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"VÂN QUẬT ĐÔNG, PHƯỜNG HÓA CHÂU, THÀNH PHỐ HUẾ","16,5652852","107,5880563","Phường Hóa Châu,Thành Phố Huế",,,
2395,156947,2HUNGODACQUANG,NGÔ ĐẮC QUANG,905979794,3300203239,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"Xã Thủy Phù , Hương Thủy ,Thừa Thiên Huế.","16,5018567","107,5059033","Phường Phú Bài,Thành Phố Huế",,,
2396,158955,2HUNGOTHILEOANH,NGÔ THỊ LỆ OANH,347166268,46171012664,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THÔN 6, PHƯỜNG PHÚ BÀI, THÀNH PHỐ HUẾ","16,3689568","107,7168242","Phường Phú Bài,Thành Phố Huế",,,
2397,152959,2HUNGUYENDINHHOANG,NGUYỄN ĐÌNH HOÀNG,84935536628,46084010199,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"XÃ THỦY THANH, PHƯỜNG THANH THỦY, THÀNH PHỐ HUẾ","16,46551558","107,6440568","Phường Thanh Thủy,Thành Phố Huế",,,
2398,156789,2HUNGUYENHUUTAM,NGUYỄN HỮU TÁM,913489815,8116473313,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"Thị Trấn Sịa , Huyện Quản Điền, Tỉnh Thừa Thiên Huế","16,59088718","107,5134255","Xã Hương Trà,Thành Phố Huế",,,
2399,154210,2HUNGUYENTHANHDUNG,NGUYỄN THANH DỤNG,84985630261,46074012712,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"HÒA ĐÔNG, XÃ PHÚ VANG, THÀNH PHỐ HUẾ","16,4291232","107,723831","Xã Phú Vang,Thành Phố Huế",,,
2400,152754,2HUNGUYENTHIHOA,Nguyễn Thị Hoa,362654059,3301285869,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,", Quảng Lợi, Quảng Điền, TT Huế","16,5961728","107,4904119","Xã Đan Điền,Thành Phố Huế",,,
2401,158956,2HUNGUYENTHIHONG,NGUYỄN THỊ HỒNG,973635201,3301302296,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THÔN HÒA VIỆN, XÃ PHONG BÌNH, HUYỆN PHONG ĐIỀN, TỈNH THỪA THIÊN HUẾ","16,66794971","107,3318078","Phường Phong Dinh,Thành Phố Huế",,,
2402,156970,2HUNGUYENTHIHUE,NGUYỄN THỊ HUỆ,702455239,46180006560,TRẦN SĨ VIỆT,T05 - MIỀN TRUNG 2,"THÔN LÊ XÁ ĐÔNG, XÃ PHÚ HỒ, THÀNH PHỐ HUẾ","16,47183084","107,6968906","Xã Phú Hồ,Thành Phố Huế",,,
